﻿,UCLA,DASS-Dep,DASS-Anx,DASS-Str,WCST PE,Stroop Int
UCLA,1.0,0.673489768623537,0.4964631639373102,0.5486418097200658,-0.1192188736077466,0.016033049832039792
DASS-Dep,0.673489768623537,1.0,0.6609369058644742,0.6746725699403426,-0.17364153315949662,-0.04286057521787597
DASS-Anx,0.4964631639373102,0.6609369058644742,1.0,0.7473342079651404,-0.1507007948461151,0.015080196097056745
DASS-Str,0.5486418097200658,0.6746725699403426,0.7473342079651404,1.0,-0.15395903672467617,0.011690198932125207
WCST PE,-0.1192188736077466,-0.17364153315949662,-0.1507007948461151,-0.15395903672467617,1.0,0.05119864577365467
Stroop Int,0.016033049832039792,-0.04286057521787597,0.015080196097056745,0.011690198932125207,0.05119864577365467,1.0
