participant_id,prp_t2_cv_all,prp_t2_cv_short,prp_t2_cv_long,prp_t2_rt_sd_all,prp_t2_rt_iqr_all,prp_t2_rt_skew_all,prp_t2_rt_mssd_all,prp_t2_rt_sd_block_slope,prp_t2_rt_p90_block_slope,prp_t2_residual_sd_block_slope,prp_t2_rt_sd_soa_50,prp_t1_rt_sd_soa_50,prp_t2_rt_sd_soa_150,prp_t1_rt_sd_soa_150,prp_t2_rt_sd_soa_300,prp_t1_rt_sd_soa_300,prp_t2_rt_sd_soa_600,prp_t1_rt_sd_soa_600,prp_t2_rt_sd_soa_1200,prp_t1_rt_sd_soa_1200,prp_exg_short_sigma,prp_exg_long_sigma,prp_exg_overall_sigma,prp_exg_sigma_bottleneck,stroop_cv_all,stroop_cv_incong,stroop_cv_cong,stroop_rt_sd_all,stroop_rt_iqr_all,stroop_rt_skew_all,stroop_rt_mssd_all,stroop_cv_fatigue_slope,stroop_cv_fatigue_slope_rolling,stroop_rt_sd_block_slope,stroop_rt_p90_block_slope,stroop_residual_sd_block_slope,stroop_exg_congruent_sigma,stroop_exg_incongruent_sigma,stroop_exg_neutral_sigma,stroop_exg_sigma_interference,wcst_cv_rt,wcst_rt_sd_all,wcst_rt_iqr_all,wcst_rt_skew_all,wcst_rt_mssd_all,wcst_rt_sd_block_slope,wcst_rt_p90_block_slope,wcst_residual_sd_block_slope
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.31759140971771366,0.1949187184840105,0.17295066967749453,203.62507806675228,304.1000000052154,0.5649556758514768,75494.80427351057,2.41581178501284,8.037000004649148,4.911209218138234,161.98069933283432,148.93414492915025,141.17825996554552,144.810981685181,162.79821259247407,176.27045010631124,135.0697436590768,209.85641843538792,82.2820017268154,167.39086753966035,129.6130702998853,78.01653363392846,60.2830692644868,51.59653666595683,0.23145847681179874,0.2137859980396471,0.25504085898842377,161.28883917871622,181.82500000670552,1.2328158143792354,36615.25542128561,0.03734515718091358,0.004518054041710078,-7.791505155460756,-54.894999998360895,-1.407433993004213,88.22131633647811,145.9348022717825,67.81288703689607,57.71348593530439,0.5386120284936368,582.2691607781097,420.9999999925494,2.2696458706136666,507892.7730877572,-103.3651377227272,-169.05500000223532,-81.94251987121939
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.5013536140234047,0.4029919692087206,0.17907752510115962,331.8559841943758,289.9999999999418,1.6130807757325039,186982.99219298494,22.125393281272675,80.60099999998342,25.53039645624106,386.5422611361714,358.89243111915914,316.2362449320201,225.38449594968895,306.6070340571874,341.2181662807492,118.4407012396746,117.091476610909,72.57155634621292,116.82481293371946,28.936482075254222,10.0,10.0,18.936482075254222,0.36607371146735385,0.3853901398576104,0.24920293868238033,250.91946325391476,183.17499999998836,3.306345511444645,109899.66785045377,-0.10578920680228368,-0.053771349596243925,-47.60178891159445,-72.14800000002151,-44.27338678459685,66.22252185016558,81.4894868916819,10.0,15.266965041516327,0.6966151389540045,890.1954391194726,331.6000000003262,3.9557259351990313,863414.1642105487,-80.02481141697032,-250.3529999999281,-20.455018096962625
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.49977747460222816,0.39874550045785484,0.3715322841716276,455.05004432959345,669.3000001907349,0.9821418287632844,383798.5517172997,-7.179961549509532,-17.50099973678591,-1.788510100228082,445.93709425510986,350.57949312955515,311.3876306441117,265.7623475356542,450.8332903506983,517.4549507477957,489.493960738314,528.9366454910062,196.626192275602,302.38438881691815,42.9151572064368,24.67718618641548,83.21835444067334,18.237971020021323,0.31693761532815035,0.27010246855070363,0.23475571952495974,290.3075191077191,378.7999999523163,0.8677409359727835,177615.0518124479,0.020329062909767825,-0.0082638701747943,-2.287383173471276,-16.26799997329709,-5.810892770537557,116.90198159673008,106.71824096681226,133.93346005626586,-10.183740629917809,0.7138070339353305,1226.660592374261,725.4499998092654,3.619189686553462,2299522.8599085296,-133.9539390140799,-146.66599990844736,-101.8561632295667
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.48342478776681846,0.4287024150770688,0.2686595699543901,325.796366388411,268.8500000052154,1.4689890210836551,163742.30342375903,-21.583917504234126,-99.0429999965429,-29.056621336664456,396.72033897828277,399.28272033595385,320.9242438430283,321.87358787408016,338.72974465242106,340.80674498213995,185.5026716392955,316.73071485440624,137.04996312281645,370.112032173486,10.0,73.43789147337891,60.2094678261462,-63.43789147337891,0.2605480839688903,0.29927453646085306,0.2548539231328533,143.7947988046336,180.7499999962747,1.26570656727576,30873.44990637103,-0.09719527883475851,-0.018589584536258485,-9.134555425365146,33.84999999925498,-7.522078543038152,62.09285564017532,39.23817043316375,109.79308469158384,-22.854685207011563,0.6139492752191689,558.619654912123,328.9499999918045,5.0291432923438535,504829.8102780179,-82.26007594694266,-3.713999998718441,-105.53648138207959
146QT9LupyU2BAiTsB3PMIpVXM22,0.5568336896679829,0.43145331192432484,0.29261875830302625,430.62125935545305,460.5999999828636,1.7065534113446208,271220.5375229501,-86.61017982955408,-210.29100000262267,-75.6238824586963,415.28167582658523,294.74445929547613,439.5451583553577,391.86214600717886,352.77075592336024,358.02215305468195,505.285863552894,548.2145712633024,141.5769357786338,289.35792572007045,70.21607182507562,79.51930459637309,63.40301519497187,-9.303232771297472,0.30209797150964696,0.28792872395998836,0.26352771090101773,239.33040464032874,328.27499999851,1.0275223799219446,87180.40570016696,0.01578544050828562,0.00943382571300721,-16.56127708904052,-30.68699999943373,-10.491040793760178,193.45392263604543,179.43716228894155,76.6343788536928,-14.016760347103911,0.3991554371094512,452.2871728583501,465.59999999403954,2.0716998817310555,310270.1423677926,-50.10765588667306,-86.67799999773503,-56.201737159491046
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.3853069783079049,0.24697495496013167,0.4740454015231398,320.9850481078204,398.30000000447023,0.6141658134168038,160586.49637306677,-18.25452789680859,-101.58699999988087,-24.222827975797117,256.21763121541215,248.26244783374614,221.3001122397565,181.6123985616486,293.61529547906366,286.743732391086,286.98900193580965,244.26651735632353,266.211531093985,438.0083459328165,166.92037977290968,10.0,191.7869532808347,156.92037977290968,0.3751787323555192,0.3886320507505717,0.3101467016058649,440.5647428764504,485.8999999985099,0.9767959909138537,339188.7429930679,0.07664413971326445,0.029842186336663783,14.046417477772406,-12.481999994814242,38.18097745865681,239.2473963743492,246.8588319343182,260.40439992084794,7.611435559968982,0.7173876449148492,1432.9248516981731,603.5249999910593,3.176525140646868,3181206.7217893065,46.75720964757276,-94.99600000441083,48.419556138815146
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.34890292159377817,0.2664911407884794,0.36188339482833015,491.55769613712744,747.6250000298025,0.34830794090172856,362500.58270285325,-43.46137952466647,-202.4929999876024,-45.824130082285144,479.9881653230489,454.1917302569656,414.1247610020917,347.02909097259294,338.9992599373943,329.8345605277009,364.38666873398415,394.5253767379541,321.45197254329196,522.0044848138377,268.40581201670443,79.1370742241778,412.9245253763026,189.26873779252665,0.28466621947477416,0.29582079306948045,0.20153172616955706,269.6287264300137,240.10000002384186,1.2739054882022316,115387.4114951334,-0.016961152051946093,-0.01500182490567325,-31.239778493318394,-63.891000003814476,-31.42542952517838,170.87920907216613,142.40447920063104,141.2252661554946,-28.47472987153509,0.5847313277873273,1047.9538385338742,967.7500000000002,1.6274490533932005,1488201.4225576615,-162.54952860620566,-457.5200000023841,-140.79591738814912
1fbLQPCcysVlSKup96K4yI5NX6G3,0.45807522072986184,0.34182936097188743,0.35468039541781116,384.96882642330286,502.14999988675095,1.1008162092528184,220782.40389494857,-50.40858788900386,-172.00199999570853,-1.3770027790207713,349.9342032892579,306.19239926947444,414.99165703798354,301.29478210917574,232.92606033132571,175.90450543304266,301.65480560411146,256.60519652302423,187.88307246058596,313.26394621521973,58.24995801372536,10.0,52.19229747711962,48.24995801372536,0.33256601507583766,0.3382116223219781,0.3721620893499881,307.021865806069,322.2750000059607,0.5876071278348814,142722.97981301413,0.08955471242890178,0.022394564302748884,12.730015577194614,-73.19500004649147,26.658045062323097,235.797825036704,192.9093537568118,238.73942339876123,-42.8884712798922,0.6656992708498106,951.7348852424108,385.40000003576256,4.64576745377348,778680.3297644721,-410.52431874351123,-139.2579999852181,-354.18895130171114
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.3990195766786839,0.2679267055736061,0.37041801780915595,544.475757079029,661.1999999284745,0.6515934246687867,536924.8648245789,-4.160491529372111,93.28600000739074,-3.83016291806704,444.4168127710942,391.9136249919959,366.82800057455506,359.9624563761863,536.7871619417903,563.3911428513483,561.6791812356672,411.55301314191655,320.3069020520608,473.059225420658,151.71659488283052,10.0,341.6964587666045,141.71659488283052,0.4189524713558782,0.3826101490393938,0.44013963608733786,379.40529765169856,388.07500004768394,2.1559151676915866,254757.9196319097,-0.07195601510423477,0.013117455717392718,25.141539514081675,133.08700000524524,26.86128335531697,31.882646197627587,10.0,54.11883599158207,-21.882646197627587,0.5548463981287599,860.5680390062117,643.3500000238419,2.820124052410313,1076879.6493984202,-73.68889943493387,-300.2720000004769,-95.36199672137985
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.433167458129497,0.27716895843801864,0.6230920963469503,309.9894966261607,418.27500000596035,0.9846265862664518,186735.2389133448,-5.819388207294147,9.818000013828208,0.4870338592301993,227.95585586924628,232.37425084712453,238.10870152794809,182.3524684431801,269.55579701943697,270.01735963140254,326.34335582518185,319.2825936513487,340.10443592271037,498.0223675464807,101.93324118860784,33.33945604994321,55.9291551234654,68.59378513866464,0.3360517366694788,0.3457602036137201,0.3388436252204115,313.1261627300582,308.82500003278255,1.1695728406977521,143751.11252257164,0.07360223809462046,0.032949390641281065,16.555137106173635,-65.40100000560275,15.144244944695036,141.33041658982313,155.2831617927273,156.36696828399843,13.952745202904168,0.554493926851749,817.2322101236695,572.4250000268223,3.362538292988502,826681.9251998347,-233.57688208283903,216.1609999996422,-154.66924323154333
