participant_id,prp_t1_cost,prp_rt1_rt2_coupling,prp_order_violation_rate,prp_t1_only_rate,prp_t2_only_rate,prp_t2_while_t1_pending_rate,prp_iri_mean,prp_iri_median,prp_iri_p10,prp_iri_p25,prp_iri_grouping_rate_100,prp_t2_acc_short,prp_t2_acc_long,prp_t2_acc_cost,prp_t2_trials,prp_t2_rt_mean_soa_50,prp_t2_rt_median_soa_50,prp_t1_rt_mean_soa_50,prp_t1_rt_median_soa_50,prp_t1_acc_soa_50,prp_t2_acc_soa_50,prp_both_correct_soa_50,prp_timeout_rate_soa_50,prp_order_error_soa_50,prp_rt1_rt2_coupling_soa_50,prp_t2_rt_mean_soa_150,prp_t2_rt_median_soa_150,prp_t1_rt_mean_soa_150,prp_t1_rt_median_soa_150,prp_t1_acc_soa_150,prp_t2_acc_soa_150,prp_both_correct_soa_150,prp_timeout_rate_soa_150,prp_order_error_soa_150,prp_rt1_rt2_coupling_soa_150,prp_t2_rt_mean_soa_300,prp_t2_rt_median_soa_300,prp_t1_rt_mean_soa_300,prp_t1_rt_median_soa_300,prp_t1_acc_soa_300,prp_t2_acc_soa_300,prp_both_correct_soa_300,prp_timeout_rate_soa_300,prp_order_error_soa_300,prp_rt1_rt2_coupling_soa_300,prp_t2_rt_mean_soa_600,prp_t2_rt_median_soa_600,prp_t1_rt_mean_soa_600,prp_t1_rt_median_soa_600,prp_t1_acc_soa_600,prp_t2_acc_soa_600,prp_both_correct_soa_600,prp_timeout_rate_soa_600,prp_order_error_soa_600,prp_rt1_rt2_coupling_soa_600,prp_t2_rt_mean_soa_1200,prp_t2_rt_median_soa_1200,prp_t1_rt_mean_soa_1200,prp_t1_rt_median_soa_1200,prp_t1_acc_soa_1200,prp_t2_acc_soa_1200,prp_both_correct_soa_1200,prp_timeout_rate_soa_1200,prp_order_error_soa_1200,prp_rt1_rt2_coupling_soa_1200,stroop_rt_interference,stroop_rt_facilitation,stroop_rt_incong_minus_neutral,stroop_rt_neutral_minus_cong,stroop_rt_interference_correct,stroop_rt_facilitation_correct,stroop_rt_incong_minus_neutral_correct,stroop_rt_neutral_minus_cong_correct,stroop_acc_interference,stroop_acc_facilitation,stroop_trials,stroop_ez_congruent_v,stroop_ez_congruent_a,stroop_ez_congruent_t0,stroop_ez_congruent_sv,stroop_ez_congruent_sz,stroop_ez_congruent_st0,stroop_ez_incongruent_v,stroop_ez_incongruent_a,stroop_ez_incongruent_t0,stroop_ez_incongruent_sv,stroop_ez_incongruent_sz,stroop_ez_incongruent_st0,stroop_ez_neutral_v,stroop_ez_neutral_a,stroop_ez_neutral_t0,stroop_ez_neutral_sv,stroop_ez_neutral_sz,stroop_ez_neutral_st0,stroop_ez_congruent_v_sd,stroop_ez_incongruent_v_sd,stroop_ez_neutral_v_sd,stroop_ez_v_sd_interference,stroop_ez_v_interference,stroop_ez_a_interference,stroop_ez_t0_interference,wcst_trials,wcst_total_errors,wcst_error_rate,wcst_perseverative_errors,wcst_perseverative_error_rate,wcst_nonperseverative_errors,wcst_perseverative_responses,wcst_perseverative_response_percent,wcst_error_pr_ratio,wcst_error_npe_ratio,wcst_trials_to_first_category,wcst_categories_completed,wcst_trials_per_category_mean,wcst_trials_per_category_sd,wcst_trials_per_category_1,wcst_trials_per_category_2,wcst_trials_per_category_3,wcst_trials_per_category_4,wcst_trials_per_category_5,wcst_trials_per_category_6,wcst_completed_categories,wcst_total_trials_summary,wcst_total_correct_summary,wcst_failure_to_maintain_set,wcst_clr_count,wcst_clr_percent,wcst_learning_to_learn,wcst_learning_to_learn_heaton_clr_delta,wcst_learning_efficiency_delta_trials,wcst_trials_to_first_conceptual_resp,wcst_trials_to_first_conceptual_resp0,wcst_has_first_clr,wcst_category_clr_percents
06qcrpGKL6Vc3LVplFQC90VAcRm1,-36.570035463014165,0.3722033568220028,0.008333333333333333,0.0,0.0,0.008333333333333333,429.91848739493,303.0,137.7800000011921,204.5,0.05042016806722689,1.0,1.0,0.0,118,858.182608694486,850.1000000089407,683.1956521719694,701.9000000059605,1.0,1.0,1.0,0.0,0.041666666666666664,0.7502832255600699,762.0750000011176,748.5,657.4291666653007,624.6000000014901,1.0,1.0,1.0,0.0,0.0,0.7699906448664644,630.4565217384826,638.5999999940395,693.2608695645695,614.0,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.7719562720365002,487.8999999997516,459.34999999403954,679.9625000022352,630.3000000044703,1.0,1.0,1.0,0.0,0.0,0.5721960089342584,475.7541666664183,463.5,706.6083333337059,674.9999999925494,1.0,1.0,1.0,0.0,0.0,0.11523595814801707,55.011111111276705,-12.533333335485736,67.54444444676244,-12.533333335485736,49.00222222242087,-12.533333335485736,61.535555557906605,-12.533333335485736,-0.02777777777777779,0.0,108,0.008806436673665275,4.840413932446045,415.48923352052583,0.0,0.0,0.0,0.008616508433983974,4.126205050141807,505.5459768001484,0.0,0.0,0.0,0.009575541908632487,4.4516330435549065,444.15323624748123,0.0,0.0,0.0,,,,,-0.00018992823968130151,-0.7142088823042378,90.0567432796226,82,13,0.15853658536585366,9,10.975609756097562,4,25,30.48780487804878,0.6923076923076923,0.3076923076923077,14.0,6.0,13.666666666666666,2.9814239699997196,14.0,13.0,11.0,12.0,12.0,20.0,6.0,82.0,69.0,0.0,67.0,81.70731707317073,,4.135309135309143,-2.0,7.0,6.0,1.0,"[71.42857142857143, 76.92307692307693, 90.9090909090909, 83.33333333333334, 83.33333333333334, 85.0]"
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,101.35605920442265,0.7447500276577393,0.0,0.0,0.0,0.0,467.4616666666688,356.45000000004075,153.26999999998952,216.10000000006403,0.06666666666666667,0.9791666666666666,0.9583333333333334,-0.02083333333333326,115,927.2347826087068,726.3999999999069,716.4565217391254,555.1000000000931,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.8857382764747871,823.9000000000038,691.5500000000466,653.1333333333314,577.5499999999884,1.0,1.0,1.0,0.0,0.0,0.7289945542438371,685.33333333335,576.0,797.7999999999967,624.9000000000233,1.0,0.875,0.875,0.0,0.0,0.9627538039623079,471.1666666666715,432.9000000000233,570.7458333333634,574.2500000000582,1.0,1.0,1.0,0.0,0.0,0.4066883941323295,405.2521739130455,382.5999999999767,582.7652173913185,565.0999999999767,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.281451673590989,85.79999999998836,107.87777777778035,-22.077777777791994,107.87777777778035,93.10857142856605,105.28706349207118,-12.178492063505132,105.28706349207118,0.0,0.02777777777777779,108,0.008605030126133043,4.131709022949265,396.72800531856603,0.0,0.0,0.0,0.006548780278472143,5.429023284193757,325.0959751369895,0.0,0.0,0.0,0.006752731795031265,6.312526554331459,274.3308652264307,0.0,0.0,0.0,,,,,-0.0020562498476609002,1.2973142612444928,-71.63203018157651,77,11,0.14285714285714285,8,10.38961038961039,3,28,36.36363636363637,0.7272727272727273,0.2727272727272727,10.0,6.0,12.833333333333334,2.4776781245530843,10.0,15.0,17.0,13.0,11.0,11.0,6.0,77.0,66.0,0.0,63.0,81.81818181818183,,4.417020887609127,2.333333333333334,3.0,2.0,1.0,"[100.0, 86.66666666666667, 58.82352941176471, 76.92307692307693, 90.9090909090909, 90.9090909090909]"
0d841i8KPjdjwCYfDuUUXj0SEjH2,-6.8991105547064535,0.7200624446282813,0.0,0.0,0.0,0.0,547.4783333460665,424.3000001908513,230.34000005724374,310.25,0.0,0.9583333333333334,0.9583333333333334,0.0,113,1213.4590908397329,1203.5499997138977,843.9227273680947,767.8499999046326,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.0,0.0,0.6588740672905512,876.1863638270985,733.2000002861023,710.818181774833,582.4000000953674,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.0,0.0,0.9257683303476314,1103.2916667461395,994.5500001907347,987.1000001033148,774.8500003814697,1.0,1.0,1.0,0.0,0.0,0.9217776441359459,830.1636363809758,564.3000001907349,962.1590910391374,801.4000000953674,1.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.9092559845230742,529.2304347494374,512.8000001907349,784.2695651261703,697.0,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.39503722912251493,272.66944448153174,228.0194445451101,44.64999993642164,228.0194445451101,278.45655465887376,225.17714294403322,53.279411714840535,225.17714294403322,-0.02777777777777779,0.02777777777777779,108,0.008070180430396324,4.40553726419573,494.1352381992674,0.0,0.0,0.0,0.00572677154854109,4.947313368520846,646.4273153431442,0.0,0.0,0.0,0.006431476075794003,6.627840680438304,476.14703688579334,0.0,0.0,0.0,,,,,-0.0023434088818552346,0.5417761043251161,152.29207714387678,68,8,0.11764705882352941,3,4.411764705882353,5,19,27.941176470588236,0.375,0.625,13.0,6.0,11.333333333333334,0.9428090415820634,13.0,12.0,11.0,10.0,11.0,11.0,6.0,68.0,60.0,0.0,60.0,88.23529411764706,,10.217560217560203,1.333333333333334,6.0,5.0,1.0,"[76.92307692307693, 83.33333333333334, 90.9090909090909, 100.0, 90.9090909090909, 90.9090909090909]"
0oa5NYVnIBS9NmrmRAZrahXDctP2,-149.72761628157355,0.6426007691563175,0.0,0.0,0.0,0.0,385.628333333383,248.79999999701977,110.04999999403954,144.85000000149012,0.06666666666666667,0.8958333333333334,1.0,0.10416666666666663,112,918.64545454559,737.5000000074506,767.6863636360927,579.6000000014901,1.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.9264312347448779,778.11428571386,638.2000000029802,688.5428571403027,525.1999999880791,1.0,0.875,0.875,0.0,0.0,0.8425661636573458,681.20909090882,545.4500000104308,783.4863636371764,604.6499999985099,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.0,0.0,0.9419594516384083,508.71304347852004,453.2000000029802,730.1130434799453,622.5,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.8473365721948378,510.1249999993791,495.44999999552965,878.7625000011176,770.6499999985099,1.0,1.0,1.0,0.0,0.0,0.3612787523864113,-7.377777778026143,-34.38333333283663,27.005555554810485,-34.38333333283663,0.39899159632307146,-21.021008402910525,21.419999999233596,-21.021008402910525,0.02777777777777779,0.02777777777777779,108,0.008056442967241373,3.5167050217775504,363.23156119962493,0.0,0.0,0.0,0.008260341847846553,4.304117344025276,311.5791109589529,0.0,0.0,0.0,0.010000649795535261,3.55511705157067,368.3446663714938,0.0,0.0,0.0,,,,,0.00020389888060518002,0.7874123222477252,-51.65245024067201,73,10,0.136986301369863,6,8.21917808219178,4,18,24.65753424657534,0.6,0.4,13.0,6.0,12.166666666666666,0.6871842709362768,13.0,12.0,12.0,12.0,13.0,11.0,6.0,73.0,63.0,0.0,60.0,82.1917808219178,,2.525252525252526,0.3333333333333339,6.0,5.0,1.0,"[76.92307692307693, 83.33333333333334, 83.33333333333334, 83.33333333333334, 76.92307692307693, 90.9090909090909]"
146QT9LupyU2BAiTsB3PMIpVXM22,62.412929292851004,0.7684743509926293,0.016666666666666666,0.008333333333333333,0.0,0.016666666666666666,472.14273504276053,344.70000000298023,137.97999999225144,214.6000000089407,0.08547008547008547,0.9574468085106383,0.9583333333333334,0.0008865248226950229,110,1031.286956520832,985.7000000029802,761.8086956525626,716.6000000089407,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,0.0,0.8437366382392089,937.1363636377183,833.4000000059605,843.2636363641782,642.1499999985099,1.0,0.9565217391304348,0.9565217391304348,0.0,0.041666666666666664,0.9601044607808129,677.2636363641782,565.4500000029802,766.772727274082,619.8999999985099,1.0,0.9565217391304348,0.9565217391304348,0.041666666666666664,0.0,0.9343996533956488,723.1761904756228,509.1999999880791,871.4285714257331,676.8999999910593,1.0,0.9130434782608695,0.9130434782608695,0.0,0.041666666666666664,0.9141673685792592,483.8272727274082,498.8000000119209,739.2181818187237,636.25,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.0,0.0,0.1970018798868714,115.33333333416113,-26.799999999917304,142.13333333407843,-26.799999999917304,120.0690476199818,-26.799999999917304,146.8690476198991,-26.799999999917304,-0.02777777777777779,0.0,108,0.008196307014044488,5.200732317295042,454.26875701413144,0.0,0.0,0.0,0.006736087791700963,5.27806075489351,512.7760505511201,0.0,0.0,0.0,0.007453960731818929,5.71867766735757,362.97228783478005,0.0,0.0,0.0,,,,,-0.0014602192223435251,0.07732843759846819,58.50729353698864,77,9,0.11688311688311688,7,9.090909090909092,2,23,29.87012987012987,0.7777777777777778,0.2222222222222222,10.0,6.0,12.833333333333334,2.034425935955617,10.0,11.0,12.0,14.0,14.0,16.0,6.0,77.0,68.0,0.0,64.0,83.11688311688312,,-14.62842712842712,-3.666666666666666,3.0,2.0,1.0,"[100.0, 90.9090909090909, 83.33333333333334, 71.42857142857143, 71.42857142857143, 87.5]"
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,-285.5139130417276,0.44849818848788453,0.0,0.0,0.0,0.0,279.1750000012379,179.45000000303844,104.08999999463558,129.475000001461,0.08333333333333333,0.9375,1.0,0.0625,114,1072.6000000031097,1036.300000011921,972.3130434764469,924.399999976158,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.9425260325035689,930.3409090881997,870.6000000089407,904.7045454504815,907.0,1.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.8365588045887871,920.1086956508782,853.5,1015.9521739120069,912.7999999821186,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.9008143120256833,684.9217391273249,642.5,1045.0173913020155,1034.2000000178814,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.6335567412718581,561.5739130442557,536.5,1224.7739130388136,1075.899999976158,0.9583333333333334,1.0,0.9583333333333334,0.0,0.0,0.8635152293559794,125.64722222586465,139.79166667080585,-14.1444444449412,139.79166667080585,134.45428571838215,139.79166667080585,-5.3373809524237,139.79166667080585,-0.02777777777777779,0.0,108,0.0063321978895470275,6.731754047165841,569.0157022454495,0.0,0.0,0.0,0.004936106401717923,7.2027378912497495,531.1903522697907,0.0,0.0,0.0,0.005216975670421282,8.170787341810813,464.2481672371986,0.0,0.0,0.0,,,,,-0.0013960914878291047,0.4709838440839089,-37.82534997565881,69,9,0.13043478260869565,6,8.695652173913043,3,15,21.73913043478261,0.6666666666666666,0.3333333333333333,11.0,6.0,11.5,0.7637626158259734,11.0,11.0,11.0,13.0,12.0,11.0,6.0,69.0,60.0,0.0,60.0,86.95652173913044,,-7.187257187257188,-1.0,4.0,3.0,1.0,"[90.9090909090909, 90.9090909090909, 90.9090909090909, 76.92307692307693, 83.33333333333334, 90.9090909090909]"
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,-94.05208332588268,0.6508898157754288,0.0,0.0,0.0,0.0,276.68833333551885,215.5999999642372,114.4599999666214,167.05000001192093,0.05,1.0,1.0,0.0,120,1627.2166666686535,1599.550000011921,1485.2500000248353,1374.9500000476835,1.0,1.0,1.0,0.0,0.0,0.969490097386053,1719.2875000039737,1689.8500000238419,1674.3041666646798,1649.75,1.0,1.0,1.0,0.0,0.0,0.9603294052316627,1580.054166674614,1629.25,1646.0083333452542,1716.0,1.0,1.0,1.0,0.0,0.0,0.8344443356420261,1229.499999995033,1111.9500000476837,1582.8625000019867,1536.949999988079,1.0,1.0,1.0,0.0,0.0,0.9209690746134526,888.2750000059605,776.6999999880791,1673.8291666706402,1541.6500000357628,1.0,1.0,1.0,0.0,0.0,0.8490567846000739,240.625,18.6583333247238,221.9666666752762,18.6583333247238,232.23563492061612,18.6583333247238,213.57730159589232,18.6583333247238,-0.02777777777777779,0.0,108,0.00882273943928845,4.831469756501279,594.545194178671,0.0,0.0,0.0,0.005950743269637775,5.974628547041704,618.8652147576311,0.0,0.0,0.0,0.007804365270594466,5.461917438824115,539.1986760723166,0.0,0.0,0.0,,,,,-0.0028719961696506754,1.1431587905404257,24.32002057896011,72,10,0.1388888888888889,6,8.333333333333332,4,26,36.11111111111111,0.6,0.4,15.0,6.0,12.0,1.4142135623730951,15.0,11.0,11.0,11.0,12.0,12.0,6.0,72.0,62.0,0.0,60.0,83.33333333333334,,3.0303030303030454,0.6666666666666679,8.0,7.0,1.0,"[66.66666666666666, 90.9090909090909, 90.9090909090909, 90.9090909090909, 83.33333333333334, 83.33333333333334]"
1fbLQPCcysVlSKup96K4yI5NX6G3,-19.660869576792834,0.6572907653677449,0.0,0.0,0.0,0.0,611.7124999950271,539.1000000239001,327.23000004281056,391.4749999343476,0.0,0.9583333333333334,1.0,0.04166666666666663,114,1135.6869565093,1051.6999999284744,783.6913043571556,666.0,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.9481521246016592,1089.2782608840776,975.399999976158,702.8869565051535,577.5,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.8151136428807658,726.7699999928475,631.6999999880791,608.8150000154972,559.2499999403954,0.875,0.9583333333333334,0.8333333333333334,0.0,0.0,0.8674821643117844,724.3000000069538,637.4499999880791,681.8583333392938,599.0500000119209,1.0,1.0,1.0,0.0,0.0,0.8443992977618224,529.7249999940395,460.0,762.9500000079473,694.4499999880791,1.0,1.0,1.0,0.0,0.0,0.7139654104831598,56.30833333068426,-37.794444458352245,94.10277778903651,-37.794444458352245,42.602063491041804,-51.500714297994705,94.10277778903651,-51.500714297994705,0.02777777777777779,0.02777777777777779,108,0.005866365975002626,6.0605630072164445,442.87130095645796,0.0,0.0,0.0,0.0064045579262149745,6.655697280203254,468.15498719696916,0.0,0.0,0.0,0.007464698840446174,5.710451242781195,507.3528243231405,0.0,0.0,0.0,,,,,0.0005381919512123488,0.5951342729868099,25.2836862405112,91,22,0.24175824175824176,17,18.681318681318682,5,37,40.65934065934066,0.7727272727272727,0.22727272727272727,12.0,6.0,15.166666666666666,3.2871804872193366,12.0,18.0,21.0,14.0,14.0,12.0,6.0,91.0,69.0,0.0,65.0,71.42857142857143,,5.291005291005291,3.666666666666666,5.0,4.0,1.0,"[83.33333333333334, 55.55555555555556, 71.42857142857143, 71.42857142857143, 71.42857142857143, 83.33333333333334]"
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,-269.2684264907432,0.6343053701694559,0.058333333333333334,0.0,0.025,0.075,324.92568807643966,204.30000007199124,119.77999999527819,156.70000004768372,0.06422018348623854,1.0,1.0,0.0,109,1584.6181818301027,1474.8000000119207,1373.7227272770622,1296.8500000834465,1.0,1.0,1.0,0.041666666666666664,0.041666666666666664,0.818033236370277,1462.8899999976159,1410.8500000238419,1377.8500000059605,1346.6000000238419,1.0,1.0,1.0,0.041666666666666664,0.125,0.8666208974980548,1716.4782608695652,1613.7999999523165,1725.6434782484303,1615.7999999523165,1.0,1.0,1.0,0.0,0.041666666666666664,0.8880282649971624,1202.2523809387571,1007.100000023842,1481.0190476292655,1422.6999999284744,1.0,1.0,1.0,0.041666666666666664,0.08333333333333333,0.9007646905601134,864.7173913043479,713.9000000953674,1644.9565217339475,1515.9000000953674,1.0,1.0,1.0,0.041666666666666664,0.0,0.8042463027320412,-89.48055555423093,-153.86388888955116,64.38333333532023,-153.86388888955116,-81.85087301267515,-148.2023015861473,66.35142857347216,-148.2023015861473,-0.02777777777777779,-0.02777777777777779,108,0.0055759760210916985,7.644724189841022,320.2557874908674,0.0,0.0,0.0,0.00578822506407474,6.142380474380784,403.7531992270239,0.0,0.0,0.0,0.005734277195176242,6.200167763916654,327.92846707331057,0.0,0.0,0.0,,,,,0.00021224904298304103,-1.5023437154602384,83.4974117361565,88,10,0.11363636363636363,7,7.954545454545454,3,29,32.95454545454545,0.7,0.3,11.0,6.0,14.666666666666666,5.676462121975467,11.0,15.0,12.0,12.0,11.0,27.0,6.0,88.0,78.0,1.0,71.0,80.68181818181817,,3.7037037037037095,-4.000000000000002,4.0,3.0,1.0,"[90.9090909090909, 66.66666666666666, 83.33333333333334, 83.33333333333334, 90.9090909090909, 77.77777777777779]"
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,-145.80864661506246,0.6772215325417482,0.0,0.0,0.0,0.0,456.70583333571653,320.09999999403954,151.25999997854234,198.4249999821186,0.0,0.8333333333333334,0.9166666666666666,0.08333333333333326,102,915.1999999943532,864.6999999880791,749.2631578947369,703.6000000238419,0.9166666666666666,0.875,0.7916666666666666,0.0,0.0,0.9436539910409812,798.1473684248172,749.0,681.2052631472286,685.7999999523163,0.9583333333333334,0.7916666666666666,0.7916666666666666,0.0,0.0,0.6999542012759637,744.7043478229772,671.6999999880791,791.8782608716384,714.2999999523163,1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.85956224253177,592.5199999988079,466.7000000178814,742.225,628.2999999821186,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.8616084021821427,545.8333333333334,475.0999999642372,861.0428571360452,731.6999999880791,0.9166666666666666,0.9166666666666666,0.875,0.0,0.0,0.8100621988832146,131.56944444278872,52.677777775459845,78.89166666732888,52.677777775459845,143.03039682337214,52.677777775459845,90.3526190479123,52.677777775459845,-0.02777777777777779,0.0,108,0.006766481347735694,6.299699441967374,417.78687906367173,0.0,0.0,0.0,0.00579411736292187,6.136134011093823,513.2976088463598,0.0,0.0,0.0,0.006830982413896739,6.240214977525715,478.9711578424307,0.0,0.0,0.0,,,,,-0.0009723639848138238,-0.16356543087355124,95.51072978268809,128,65,0.5078125,62,48.4375,3,90,70.3125,0.9538461538461539,0.046153846153846156,16.0,4.0,32.0,30.63494736408078,16.0,85.0,15.0,12.0,,,3.0,128.0,63.0,0.0,46.0,35.9375,,0.0,0.0,3.0,2.0,1.0,"[87.5, 15.294117647058824, 66.66666666666666]"
