participantId,correct,trial,rt,letterColor,type,text,userColor,participant_id,stim_onset_ms,task,block_index,timeout,cond,extra,is_timeout,rt_ms,resp_time_ms,trial_index
GE4hogtdLdTFbNasENgtm6SO3hC3,True,5,,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1080677.5,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1184.5,1081862.0,5.0
GE4hogtdLdTFbNasENgtm6SO3hC3,False,6,,yellow,incongruent,초록,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1082479.199999988,stroop,,False,incongruent,"{'text': '초록', 'letterColor': 'yellow', 'userColor': 'green'}",False,1095.5,1083574.699999988,6.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,7,,red,neutral,학교,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1084198.0,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'red', 'userColor': 'red'}",False,1230.5999999940395,1085428.599999994,7.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,8,,yellow,neutral,가방,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1086063.699999988,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1194.5,1087258.199999988,8.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,9,,red,congruent,빨강,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1087872.0,stroop,,False,congruent,"{'text': '빨강', 'letterColor': 'red', 'userColor': 'red'}",False,1214.8999999761581,1089086.8999999762,9.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,10,,red,neutral,가방,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1089712.3999999762,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'red', 'userColor': 'red'}",False,1505.1000000238419,1091217.5,10.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,11,,red,incongruent,파랑,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1091830.7999999821,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'red', 'userColor': 'red'}",False,1283.4000000059605,1093114.199999988,11.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,12,,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1093744.5,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1093.699999988079,1094838.199999988,12.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,13,,yellow,incongruent,초록,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1095463.699999988,stroop,,False,incongruent,"{'text': '초록', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1538.699999988079,1097002.3999999762,13.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,14,,green,neutral,학교,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1097634.0,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'green', 'userColor': 'green'}",False,1567.5999999940395,1099201.599999994,14.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,15,,yellow,incongruent,빨강,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1099815.8999999762,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1471.300000011921,1101287.199999988,15.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,16,,green,incongruent,노랑,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1101916.5,stroop,,False,incongruent,"{'text': '노랑', 'letterColor': 'green', 'userColor': 'green'}",False,1286.2999999821186,1103202.7999999821,16.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,17,,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1103813.5,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,1017.8999999761581,1104831.3999999762,17.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,18,,blue,incongruent,노랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1105444.3999999762,stroop,,False,incongruent,"{'text': '노랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,1801.6000000238419,1107246.0,18.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,19,,green,congruent,초록,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1107867.7999999821,stroop,,False,congruent,"{'text': '초록', 'letterColor': 'green', 'userColor': 'green'}",False,921.0999999940395,1108788.8999999762,19.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,20,,green,neutral,가방,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1109412.099999994,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'green', 'userColor': 'green'}",False,2332.199999988079,1111744.2999999821,20.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,21,,green,congruent,초록,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1112363.3999999762,stroop,,False,congruent,"{'text': '초록', 'letterColor': 'green', 'userColor': 'green'}",False,575.1000000238419,1112938.5,21.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,22,,red,congruent,빨강,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1113561.699999988,stroop,,False,congruent,"{'text': '빨강', 'letterColor': 'red', 'userColor': 'red'}",False,851.1999999880791,1114412.8999999762,22.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,23,,blue,neutral,기차,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1115028.699999988,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'blue', 'userColor': 'blue'}",False,832.5,1115861.199999988,23.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,24,,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1116478.3999999762,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1966.800000011921,1118445.199999988,24.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,25,,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1119063.599999994,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,1308.5,1120372.099999994,25.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,26,,yellow,neutral,기차,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1120995.099999994,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1409.199999988079,1122404.2999999821,26.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,27,,blue,incongruent,노랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1123027.599999994,stroop,,False,incongruent,"{'text': '노랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,1379.9000000059605,1124407.5,27.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,28,,red,incongruent,파랑,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1125028.599999994,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'red', 'userColor': 'red'}",False,1638.5999999940395,1126667.199999988,28.0
GE4hogtdLdTFbNasENgtm6SO3hC3,False,29,,green,congruent,초록,noResp,GE4hogtdLdTFbNasENgtm6SO3hC3,1127280.8999999762,stroop,,True,congruent,"{'text': '초록', 'letterColor': 'green', 'userColor': 'noResp'}",True,,,29.0
GE4hogtdLdTFbNasENgtm6SO3hC3,False,30,,red,incongruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1130918.099999994,stroop,,False,incongruent,"{'text': '노랑', 'letterColor': 'red', 'userColor': 'yellow'}",False,2907.0999999940395,1133825.199999988,30.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,31,,blue,incongruent,초록,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1134454.2999999821,stroop,,False,incongruent,"{'text': '초록', 'letterColor': 'blue', 'userColor': 'blue'}",False,1961.2000000178814,1136415.5,31.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,32,,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1137041.5,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1139.0999999940395,1138180.599999994,32.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,33,,red,neutral,학교,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1138791.7999999821,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'red', 'userColor': 'red'}",False,1330.300000011921,1140122.099999994,33.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,34,,green,congruent,초록,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1140749.099999994,stroop,,False,congruent,"{'text': '초록', 'letterColor': 'green', 'userColor': 'green'}",False,1110.699999988079,1141859.7999999821,34.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,35,,red,congruent,빨강,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1142472.199999988,stroop,,False,congruent,"{'text': '빨강', 'letterColor': 'red', 'userColor': 'red'}",False,1125.300000011921,1143597.5,35.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,36,,green,neutral,학교,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1144212.099999994,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'green', 'userColor': 'green'}",False,970.4000000059605,1145182.5,36.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,37,,green,congruent,초록,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1145810.599999994,stroop,,False,congruent,"{'text': '초록', 'letterColor': 'green', 'userColor': 'green'}",False,604.4000000059605,1146415.0,37.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,38,,blue,incongruent,초록,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1147028.2999999821,stroop,,False,incongruent,"{'text': '초록', 'letterColor': 'blue', 'userColor': 'blue'}",False,1851.5999999940395,1148879.8999999762,38.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,39,,blue,incongruent,빨강,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1149500.199999988,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'blue', 'userColor': 'blue'}",False,765.0999999940395,1150265.2999999821,39.0
GE4hogtdLdTFbNasENgtm6SO3hC3,False,40,,green,incongruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1150896.699999988,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'green', 'userColor': 'blue'}",False,891.5,1151788.199999988,40.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,41,,blue,neutral,학교,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1152402.7999999821,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'blue', 'userColor': 'blue'}",False,955.3000000119209,1153358.099999994,41.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,42,,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1153977.7999999821,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,633.3000000119209,1154611.099999994,42.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,43,,blue,incongruent,빨강,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1155230.099999994,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'blue', 'userColor': 'blue'}",False,602.6999999880791,1155832.7999999821,43.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,44,,yellow,incongruent,초록,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1156455.199999988,stroop,,False,incongruent,"{'text': '초록', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1413.5999999940395,1157868.7999999821,44.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,45,,red,congruent,빨강,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1158480.5,stroop,,False,congruent,"{'text': '빨강', 'letterColor': 'red', 'userColor': 'red'}",False,1555.5999999940395,1160036.099999994,45.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,46,,yellow,neutral,학교,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1160656.199999988,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1337.800000011921,1161994.0,46.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,47,,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1162608.2999999821,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,1130.0999999940395,1163738.3999999762,47.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,48,,blue,incongruent,빨강,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1164361.3999999762,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'blue', 'userColor': 'blue'}",False,443.7000000178814,1164805.099999994,48.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,49,,green,congruent,초록,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1165433.199999988,stroop,,False,congruent,"{'text': '초록', 'letterColor': 'green', 'userColor': 'green'}",False,1412.5999999940395,1166845.7999999821,49.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,50,,green,incongruent,빨강,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1167475.099999994,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'green', 'userColor': 'green'}",False,1095.0999999940395,1168570.199999988,50.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,51,,green,congruent,초록,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1169195.8999999762,stroop,,False,congruent,"{'text': '초록', 'letterColor': 'green', 'userColor': 'green'}",False,651.1000000238419,1169847.0,51.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,52,,red,neutral,가방,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1170466.199999988,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'red', 'userColor': 'red'}",False,1356.800000011921,1171823.0,52.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,53,,blue,neutral,학교,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1172458.699999988,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'blue', 'userColor': 'blue'}",False,1075.800000011921,1173534.5,53.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,54,,green,neutral,가방,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1174161.2999999821,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'green', 'userColor': 'green'}",False,1339.4000000059605,1175500.699999988,54.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,55,,red,incongruent,초록,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1176120.0,stroop,,False,incongruent,"{'text': '초록', 'letterColor': 'red', 'userColor': 'red'}",False,1642.199999988079,1177762.199999988,55.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,56,,yellow,incongruent,파랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1178385.3999999762,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1490.5,1179875.8999999762,56.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,57,,red,neutral,가방,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1180498.8999999762,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'red', 'userColor': 'red'}",False,1417.5,1181916.3999999762,57.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,58,,red,congruent,빨강,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1182544.699999988,stroop,,False,congruent,"{'text': '빨강', 'letterColor': 'red', 'userColor': 'red'}",False,645.5999999940395,1183190.2999999821,58.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,59,,green,neutral,기차,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1183816.2999999821,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'green', 'userColor': 'green'}",False,1099.0,1184915.2999999821,59.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,60,,blue,neutral,학교,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1185545.8999999762,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'blue', 'userColor': 'blue'}",False,1191.0,1186736.8999999762,60.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,61,,yellow,neutral,기차,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1187361.7999999821,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1311.9000000059605,1188673.699999988,61.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,62,,green,neutral,기차,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1189299.7999999821,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'green', 'userColor': 'green'}",False,1445.5,1190745.2999999821,62.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,63,,yellow,incongruent,빨강,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1191363.5,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1471.5999999940395,1192835.099999994,63.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,64,,yellow,incongruent,파랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1193445.599999994,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,972.7999999821186,1194418.3999999762,64.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,65,,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1195045.8999999762,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,762.7000000178814,1195808.599999994,65.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,66,,red,neutral,학교,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1196440.2999999821,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'red', 'userColor': 'red'}",False,1918.5,1198358.7999999821,66.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,67,,yellow,incongruent,빨강,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1198968.7999999821,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1477.0,1200445.7999999821,67.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,68,,green,incongruent,파랑,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1201064.0,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'green', 'userColor': 'green'}",False,996.8999999761581,1202060.8999999762,68.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,69,,blue,incongruent,노랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1202677.7999999821,stroop,,False,incongruent,"{'text': '노랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,952.2000000178814,1203630.0,69.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,70,,red,congruent,빨강,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1204262.3999999762,stroop,,False,congruent,"{'text': '빨강', 'letterColor': 'red', 'userColor': 'red'}",False,1214.1000000238419,1205476.5,70.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,71,,blue,neutral,가방,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1206104.599999994,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'blue', 'userColor': 'blue'}",False,1140.5999999940395,1207245.199999988,71.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,72,,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1207868.3999999762,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,821.9000000059605,1208690.2999999821,72.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,73,,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1209317.699999988,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1014.8000000119209,1210332.5,73.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,74,,green,incongruent,노랑,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1210961.3999999762,stroop,,False,incongruent,"{'text': '노랑', 'letterColor': 'green', 'userColor': 'green'}",False,1327.7000000178814,1212289.099999994,74.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,75,,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1212914.8999999762,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,1048.9000000059605,1213963.7999999821,75.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,76,,green,incongruent,파랑,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1214584.2999999821,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'green', 'userColor': 'green'}",False,984.3000000119209,1215568.599999994,76.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,77,,yellow,neutral,학교,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1216182.199999988,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,960.4000000059605,1217142.599999994,77.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,78,,green,neutral,학교,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1217765.5,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'green', 'userColor': 'green'}",False,1267.5,1219033.0,78.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,79,,red,neutral,기차,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1219651.099999994,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'red', 'userColor': 'red'}",False,1273.7999999821186,1220924.8999999762,79.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,80,,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1221537.3999999762,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,1100.300000011921,1222637.699999988,80.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,81,,red,congruent,빨강,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1223261.7999999821,stroop,,False,congruent,"{'text': '빨강', 'letterColor': 'red', 'userColor': 'red'}",False,1919.7000000178814,1225181.5,81.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,82,,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1225801.699999988,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,2023.5999999940395,1227825.2999999821,82.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,83,,blue,neutral,가방,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1228447.0,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'blue', 'userColor': 'blue'}",False,917.6999999880791,1229364.699999988,83.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,84,,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1229979.199999988,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,953.4000000059605,1230932.599999994,84.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,85,,red,incongruent,파랑,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1231562.099999994,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'red', 'userColor': 'red'}",False,1578.0999999940395,1233140.199999988,85.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,86,,green,congruent,초록,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1233774.3999999762,stroop,,False,congruent,"{'text': '초록', 'letterColor': 'green', 'userColor': 'green'}",False,1777.800000011921,1235552.199999988,86.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,87,,green,neutral,기차,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1236184.099999994,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'green', 'userColor': 'green'}",False,578.5,1236762.599999994,87.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,88,,green,congruent,초록,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1237382.3999999762,stroop,,False,congruent,"{'text': '초록', 'letterColor': 'green', 'userColor': 'green'}",False,609.1000000238419,1237991.5,88.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,89,,green,neutral,가방,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1238612.0,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'green', 'userColor': 'green'}",False,601.0,1239213.0,89.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,90,,red,incongruent,초록,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1239830.0,stroop,,False,incongruent,"{'text': '초록', 'letterColor': 'red', 'userColor': 'red'}",False,1170.2999999821186,1241000.2999999821,90.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,91,,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1241612.5,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1064.5999999940395,1242677.099999994,91.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,92,,yellow,neutral,가방,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1243298.3999999762,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,576.9000000059605,1243875.2999999821,92.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,93,,blue,neutral,기차,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1244495.099999994,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'blue', 'userColor': 'blue'}",False,977.1999999880791,1245472.2999999821,93.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,94,,red,congruent,빨강,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1246088.3999999762,stroop,,False,congruent,"{'text': '빨강', 'letterColor': 'red', 'userColor': 'red'}",False,1143.300000011921,1247231.699999988,94.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,95,,blue,neutral,가방,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1247863.199999988,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'blue', 'userColor': 'blue'}",False,1037.300000011921,1248900.5,95.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,96,,blue,incongruent,초록,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1249513.7999999821,stroop,,False,incongruent,"{'text': '초록', 'letterColor': 'blue', 'userColor': 'blue'}",False,502.59999999403954,1250016.3999999762,96.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,97,,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1250631.8999999762,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,493.2000000178814,1251125.099999994,97.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,98,,green,incongruent,빨강,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1251739.0,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'green', 'userColor': 'green'}",False,1054.5999999940395,1252793.599999994,98.0
GE4hogtdLdTFbNasENgtm6SO3hC3,True,99,,red,incongruent,노랑,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1253403.3999999762,stroop,,False,incongruent,"{'text': '노랑', 'letterColor': 'red', 'userColor': 'red'}",False,1361.4000000059605,1254764.7999999821,99.0
