model,term,rope_width,post_mean,hdi_3%,hdi_97%,P(|beta|<rope),PD
stroop_logrt,ucla,0.01,0.0337561516111399,-0.027959149137689005,0.0948346569444395,0.14375,0.8545
stroop_logrt,ucla,0.02,0.0337561516111399,-0.027959149137689005,0.0948346569444395,0.2865,0.8545
stroop_logrt,ucla,0.05,0.0337561516111399,-0.027959149137689005,0.0948346569444395,0.687,0.8545
stroop_logrt,ucla:cond,0.01,0.0017680580189705607,-0.01235388159531433,0.016160349821450214,0.805,0.59375
stroop_logrt,ucla:cond,0.02,0.0017680580189705607,-0.01235388159531433,0.016160349821450214,0.98975,0.59375
stroop_logrt,ucla:cond,0.05,0.0017680580189705607,-0.01235388159531433,0.016160349821450214,1.0,0.59375
prp_logt2rt,ucla,0.01,0.022355267805170574,-0.04934919573487837,0.08941838250792666,0.16575,0.734
prp_logt2rt,ucla,0.02,0.022355267805170574,-0.04934919573487837,0.08941838250792666,0.336,0.734
prp_logt2rt,ucla,0.05,0.022355267805170574,-0.04934919573487837,0.08941838250792666,0.73925,0.734
prp_logt2rt,ucla:soa,0.01,0.00910252263046853,-0.006448958069565119,0.02498503915156474,0.52825,0.855
prp_logt2rt,ucla:soa,0.02,0.00910252263046853,-0.006448958069565119,0.02498503915156474,0.903,0.855
prp_logt2rt,ucla:soa,0.05,0.00910252263046853,-0.006448958069565119,0.02498503915156474,1.0,0.855
