﻿participant_id,stroop_exg_congruent_mu,stroop_exg_congruent_sigma,stroop_exg_congruent_tau,stroop_exg_correct_congruent_mu,stroop_exg_correct_congruent_sigma,stroop_exg_correct_congruent_tau,stroop_lognorm_correct_congruent_mu,stroop_lognorm_correct_congruent_sigma,stroop_lognorm_correct_congruent_shift,stroop_mix_slow_prop_correct_congruent,stroop_exg_incongruent_mu,stroop_exg_incongruent_sigma,stroop_exg_incongruent_tau,stroop_exg_correct_incongruent_mu,stroop_exg_correct_incongruent_sigma,stroop_exg_correct_incongruent_tau,stroop_lognorm_correct_incongruent_mu,stroop_lognorm_correct_incongruent_sigma,stroop_lognorm_correct_incongruent_shift,stroop_mix_slow_prop_correct_incongruent,stroop_exg_neutral_mu,stroop_exg_neutral_sigma,stroop_exg_neutral_tau,stroop_exg_correct_neutral_mu,stroop_exg_correct_neutral_sigma,stroop_exg_correct_neutral_tau,stroop_lognorm_correct_neutral_mu,stroop_lognorm_correct_neutral_sigma,stroop_lognorm_correct_neutral_shift,stroop_mix_slow_prop_correct_neutral,stroop_exg_mu_interference,stroop_exg_sigma_interference,stroop_exg_tau_interference,stroop_exg_correct_mu_interference,stroop_exg_correct_sigma_interference,stroop_exg_correct_tau_interference,stroop_vincentile_interference_p10_correct,stroop_vincentile_interference_p30_correct,stroop_vincentile_interference_p50_correct,stroop_vincentile_interference_p70_correct,stroop_vincentile_interference_p90_correct,stroop_delta_plot_slope_correct,stroop_slow_prob_baseline,stroop_slow_prob_post_error,stroop_slow_prob_post_error_delta,stroop_slow_prob_stable,stroop_slow_prob_stable_delta,wcst_hmm_lapse_occupancy,wcst_hmm_trans_to_lapse,wcst_hmm_trans_to_focus,wcst_hmm_stay_lapse,wcst_hmm_stay_focus,wcst_hmm_lapse_rt_mean,wcst_hmm_focus_rt_mean,wcst_hmm_rt_diff,wcst_hmm_state_changes,wcst_hmm_n_trials,wcst_hmm_lapse_dwell_mean,wcst_hmm_focus_dwell_mean,wcst_hmm_long_lapse_episode_rate,wcst_hmm_lapse_rt_sd,wcst_hmm_focus_rt_sd,wcst_hmm_state_entropy,wcst_slow_prob_baseline,wcst_slow_prob_shift_k0,wcst_slow_prob_shift_k0_delta,wcst_slow_prob_shift_k1,wcst_slow_prob_shift_k1_delta,wcst_slow_prob_shift_k2,wcst_slow_prob_shift_k2_delta,wcst_slow_prob_shift_k3,wcst_slow_prob_shift_k3_delta,wcst_slow_prob_shift_k4,wcst_slow_prob_shift_k4_delta,wcst_slow_prob_shift_k5,wcst_slow_prob_shift_k5_delta,wcst_slow_prob_post_error,wcst_slow_prob_post_error_delta,wcst_slow_prob_stable,wcst_slow_prob_stable_delta,wcst_hmm2d_lapse_occupancy,wcst_hmm2d_trans_to_lapse,wcst_hmm2d_trans_to_focus,wcst_hmm2d_stay_lapse,wcst_hmm2d_stay_focus,wcst_hmm2d_lapse_dwell_mean,wcst_hmm2d_focus_dwell_mean,wcst_hmm2d_state_entropy,wcst_rl_alpha,wcst_rl_beta,wcst_rl_n_trials,wcst_rl_negloglik,wcst_rl_aic,wcst_rl_bic,wcst_rl_alpha_pos,wcst_rl_alpha_neg,wcst_rl_alpha_asymmetry,wcst_rl_beta_asym,wcst_rl_asym_n_trials,wcst_rl_asym_negloglik,wcst_rl_asym_aic,wcst_rl_asym_bic,wcst_rl_sticky_alpha,wcst_rl_sticky_beta,wcst_rl_stickiness,wcst_rl_lapse,wcst_rl_sticky_n_trials,wcst_rl_sticky_negloglik,wcst_rl_sticky_aic,wcst_rl_sticky_bic,wcst_rl_alpha0,wcst_rl_alpha_decay,wcst_rl_beta_decay,wcst_rl_decay_n_trials,wcst_rl_decay_negloglik,wcst_rl_decay_aic,wcst_rl_decay_bic,wcst_wsls_p_stay_win,wcst_wsls_p_shift_lose,wcst_wsls_p_shift_win,wcst_wsls_p_stay_lose,wcst_wsls_p_stay_win_switch,wcst_wsls_p_shift_lose_switch,wcst_wsls_p_stay_win_stable,wcst_wsls_p_shift_lose_stable,wcst_wsls_p_stay_win_colour,wcst_wsls_p_shift_lose_colour,wcst_wsls_p_stay_win_shape,wcst_wsls_p_shift_lose_shape,wcst_wsls_p_stay_win_number,wcst_wsls_p_shift_lose_number,wcst_wsls_win_n,wcst_wsls_lose_n,wcst_wsls_pair_n,wcst_wsls_excluded_n,wcst_brl_hazard,wcst_brl_noise,wcst_brl_beta,wcst_brl_negloglik,wcst_brl_n_trials,wcst_brl_posterior_entropy_mean,wcst_brl_entropy_drop_mean,wcst_brl_p_rule_max_mean,wcst_brl_change_point_prob_mean,wcst_brl_surprise_mean
06qcrpGKL6Vc3LVplFQC90VAcRm1,553.4321957173951,88.22131633647811,129.2446206672264,553.4321957173951,88.22131633647811,129.2446206672264,5.447407352295119,1.0360173005953872,385.59999999403954,0.1224868356026919,683.3874811585446,145.9348022717825,54.298774175851136,565.358136224493,60.18746517906967,166.321489131413,5.268460831951923,1.0982243785389625,469.2000000029802,0.2781631677451228,539.1562096636112,67.81288703689607,130.98812078595265,539.1562096636112,67.81288703689607,130.98812078595265,5.297801006850591,1.026142737559444,412.8000000119209,0.4833244181939263,129.9552854411495,57.71348593530439,-74.94584649137526,11.925940507097948,-28.03385115740844,37.07686846418659,57.6600000053644,34.14000000059605,25.299999997019768,72.41999999433745,136.1199999928474,78.459999987483,0.3699458967638567,0.5499698425173761,0.1800239457535194,0.3472083103270252,-0.0227375864368314,14.634146341463412,0.1105933267905489,0.5704105884941837,0.4295894115058162,0.8894066732094511,2045.7217003220696,879.6426140860427,1166.0790862360268,12,82,1.7142857142857142,11.666666666666666,0.1428571428571428,661.2564332824772,231.5493199145524,0.4163101406677759,0.1744330930582609,0.0145678022407634,-0.1598652908174975,0.2241903231838764,0.0497572301256154,0.4871101830242429,0.312677089965982,0.226961413069121,0.05252832001086,0.0839158642889113,-0.0905172287693496,0.0140364754738995,-0.1603966175843614,0.5676114773834662,0.3931783843252052,0.0642298705419225,-0.1102032225163383,15.853658536585366,0.102941176470589,0.5384615384615373,0.4615384615384627,0.897058823529411,1.8571428571428568,8.625,0.437235217212901,0.9853527651439624,0.7412254223885238,82,110.88269492886566,225.7653898577313,230.57882835225985,0.99,0.9014648395741174,0.0885351604258826,0.7848343324709874,82,110.8651417951254,227.7302835902508,234.9504413320436,0.99,1.0609781815662085,-0.3598146147697127,0.2,82,110.29885464298914,228.59770928597828,238.2245862750353,0.99,0.0021016585941631,0.7850600569237806,82,110.85289870259145,227.7057974051829,234.92595514697564,1.0,0.8333333333333334,0.0,0.1666666666666666,1.0,0.8,1.0,1.0,1.0,0.6666666666666666,1.0,,1.0,1.0,20,6,26,33,0.1835810996405906,0.1391924950615431,6.665842239069606,21.159011079322656,82,0.4768857747055178,0.3197063994255843,0.8266361995104541,0.3131199239082442,0.4295717854249418
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,500.8554692645714,66.22252185016558,120.02075499228648,503.0086195186605,68.55810358397859,120.45560749022988,5.353381349777278,1.0184558059973634,355.60000000009313,0.2224473115326404,471.31023818916094,81.4894868916819,235.35960681924607,483.5277483993613,69.44131550419506,233.04231037087092,5.566062187939332,1.1182173013086507,355.20000000018626,0.718732308094265,450.5665538855805,10.0,278.1856520422729,450.5665538855805,10.0,278.1856520422729,5.169975671638105,1.2668278650885452,450.5,0.0277777777521398,-29.54523107541047,15.266965041516327,115.3388518269596,-19.480871119299195,0.8832119202164677,112.58670288064108,14.779999999981383,11.959999999823026,33.10000000009313,74.32000000011169,270.86000000010245,256.08000000012106,0.1474742292542537,0.1432947158793446,-0.0041795133749091,0.1170618147183588,-0.0304124145358948,2.5974025974025974,0.0135135135139284,0.9999999999999216,7.845416045360647e-14,0.9864864864860716,5834.749999947754,1156.370666666148,4678.379333281606,3,77,1.0,37.5,0.0,486.94999999995343,477.69354270238097,0.120456033849227,0.0259740259744241,6.079081800809129e-13,-0.0259740259738162,0.2000000000006263,0.1740259740262021,2.579846501565335e-15,-0.0259740259744216,2.47230932584864e-21,-0.0259740259744241,2.9292190918470544e-25,-0.0259740259744241,8.140145713784147e-19,-0.0259740259744241,0.0909090909093767,0.0649350649349525,6.799747985955876e-13,-0.0259740259737442,20.77922077922078,0.1497664791497255,0.6235290937055512,0.3764709062944487,0.8502335208502744,1.6,6.1,0.511016781978249,0.01,0.1,77,106.75938197551848,217.51876395103696,222.20637479474436,0.0594628025503537,0.99,-0.9305371974496462,1.1898725265699712,77,106.21411151757836,218.42822303515672,225.45963930071775,0.2737899283829713,0.5935991589292328,-0.6074808659280153,0.0,77,104.63587531199435,217.27175062398877,226.6469723114035,0.01,0.1,0.1,77,106.74602678608213,219.49205357216425,226.5234698377253,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,14,3,17,39,0.2024473226978017,0.1870300706534897,7.21737953059584,20.55221405068345,77,0.6112091255345364,0.267216549542948,0.7705225651261479,0.3673729476878626,0.4873399742094131
0d841i8KPjdjwCYfDuUUXj0SEjH2,617.1928546761542,116.90198159673008,131.8882458513284,622.6330985575368,121.79472919205246,129.28902703714735,5.473347632109469,1.1333467613638504,431.3999996185303,0.5190432661793549,741.9342619529352,106.71824096681226,279.8122765497868,748.2902880174246,109.83105459625966,282.09121902511623,5.531951826960847,1.3085860806518412,638.7999992370605,0.4165041632523562,630.3133496964773,133.93346005626586,346.7857338217774,630.3133496964773,133.93346005626586,346.7857338217774,6.074773156556895,1.1611740955870569,396.69999980926514,0.4434599664777111,124.74140727678105,-10.183740629917809,147.92403069845835,125.65718945988785,-11.963674595792796,152.80219198796888,150.03000020980835,192.09999990463257,280.5,343.1599996566774,426.9999999999999,276.96999979019154,0.454244729578078,0.4653043166358903,0.0110595870578123,0.4333075511542466,-0.0209371784238314,11.76470588235294,0.101557380875602,0.6914232094722136,0.3085767905277863,0.8984426191243979,3904.985941411299,1348.5779905362926,2556.4079508750065,11,68,1.3333333333333333,10.0,0.0,1792.6530929329308,398.14934281818336,0.362210557135449,0.1453937069855912,0.4229879508988935,0.2775942439133023,0.6120114293853886,0.4666177223997973,0.088069947706076,-0.0573237592795151,0.0646861946030556,-0.0807075123825355,0.0209386123857275,-0.1244550945998636,0.0227210165488488,-0.1226726904367424,0.4144309148944385,0.2690372079088473,0.0159502084124104,-0.1294434985731808,11.76470588235294,0.0677966101694915,0.6250000000000056,0.3749999999999945,0.9322033898305084,1.6,12.0,0.362210557135449,0.01,0.1,68,94.278308968108,192.556617936216,196.9956333465682,0.01,0.01,0.0,0.1,68,94.278308968108,194.556617936216,201.2151410517443,0.01,0.1,0.6307169868081682,0.2,68,92.34816490974276,192.69632981948556,201.57436064018995,0.01,0.1,0.1,68,94.27148095455524,194.5429619091105,201.2014850246388,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,14,1,15,32,0.2760758014557841,0.0124775072112333,6.496065871639575,20.48927061951339,68,0.2961016701495867,0.5680983164803914,0.8901044204112648,0.346137994559051,0.4003715782234471
0oa5NYVnIBS9NmrmRAZrahXDctP2,428.6622365389841,62.09285564017532,137.1501843747019,425.2190617040743,59.93669827538661,132.016291002902,5.036914409255461,1.1248427340042453,342.09999999403954,0.205242843036526,401.8045649414512,39.23817043316375,156.634331602356,399.5401677897119,38.11791846492789,158.09384831412746,4.939638856404239,1.1260623685340196,351.59999999403954,0.4303050734239466,494.0427772637094,109.79308469158384,37.38954171244802,501.3908222516365,108.59695901868574,34.823542294496995,4.896151957409302,1.0855830712212922,350.80000001192093,0.298570478735768,-26.857671597532885,-22.854685207011563,19.48414722765412,-25.67889391436239,-21.818779810458715,26.077557311225465,-13.799999986588944,-18.989999996125675,-24.950000002980232,-3.4099999949335142,-28.40000000298028,-14.600000016391334,0.1287813474181086,0.3065055178119559,0.1777241703938472,0.109433970757695,-0.0193473766604135,1.36986301369863,0.0,1.0,0.0,1.0,12336.79999999702,909.8791666668322,11426.920833330189,1,73,1.0,72.0,0.0,0.0,554.72678759012,0.0723777895161174,0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,13.6986301369863,0.1129032258064524,0.7999999999999959,0.200000000000004,0.8870967741935476,1.25,7.875,0.3994548015236374,0.01,0.1,73,101.20098597530315,206.4019719506063,210.98289083290308,0.01,0.6063253370250741,-0.5963253370250741,7.209767744810037,73,100.7650449792094,207.5300899584188,214.401468281864,0.1504884398624469,0.1,0.3379795429079426,0.2,73,100.63377263188907,209.26754526377812,218.4293830283717,0.01,0.0224939960784669,0.1,73,101.2000619909375,208.400123981875,215.27150230532015,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,16,2,18,34,0.1963928253298508,0.0649377639931942,10.0,5.699049859872452,73,0.3963163290169821,0.3899132959893301,0.854456847802919,0.3042997862264036,0.3623069794563389
146QT9LupyU2BAiTsB3PMIpVXM22,719.6151743079349,193.45392263604543,43.10002822520409,719.6151743079349,193.45392263604543,43.10002822520409,5.747008974130785,1.1000203766856418,357.40000000596046,0.4849728019153948,698.1290614490911,179.43716228894155,179.91765509734446,710.128773162665,187.97672789062383,172.652799063197,5.917985487800052,1.1408369911872178,394.59999999403954,0.5383774630612036,525.868948817035,76.6343788536928,210.0498519168617,525.868948817035,76.6343788536928,210.0498519168617,5.4930608261430525,1.1061545901074616,402.2000000029802,0.3678942018362356,-21.486112858843853,-14.016760347103911,136.81762687214038,-9.486401145269951,-5.477194745421599,129.5527708379929,74.33000000268225,99.04999999403958,120.14999999850988,139.09999999701984,169.88000000417264,95.5500000014904,0.0351686706285925,0.0257853645488131,-0.0093833060797794,0.0280027390005265,-0.007165931628066,25.97402597402597,0.2005632017650087,0.469126129754785,0.5308738702452148,0.7994367982349913,1564.628913158142,935.24797795888,629.3809351992621,17,77,2.2222222222222223,6.333333333333333,0.1111111111111111,479.8793004492136,188.88607432307,0.5727850616244737,0.3164040528070881,0.2191384301894043,-0.0972656226176837,0.7550848866078114,0.4386808338007232,0.611248777515381,0.2948447247082928,0.6699279082644856,0.3535238554573974,0.6087159641605144,0.2923119113534263,0.4395147111860508,0.1231106583789626,0.750464166210834,0.4340601134037459,0.1302785125852243,-0.1861255402218637,11.688311688311687,0.1194029850746273,0.8888888888888892,0.1111111111111107,0.8805970149253727,1.125,7.555555555555555,0.3606684718796419,0.01,0.1,77,106.75409689975176,217.50819379950352,222.1958046432109,0.2490211259925048,0.01,0.2390211259925048,0.265245520817326,77,106.71165844075338,219.4233168815068,226.45473314706783,0.01,0.1,-0.3904376471821963,0.2,77,106.15804319311673,220.31608638623345,229.6913080736482,0.01,0.0732838002116884,0.2357134212937559,77,106.7444415488078,219.48888309761563,226.5202993631767,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,16,2,18,35,0.2151532635568517,0.001,7.976265861986433,12.14635941983824,77,0.2870340389240315,0.49282052734976,0.876118449774523,0.3017617127919118,0.3311531310136211
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,845.9334787274848,239.2473963743492,239.8895063143262,845.9334787274848,239.2473963743492,239.8895063143262,6.1310823021908165,1.3568549082464747,429.40000000596046,0.5041747593317258,817.5816868033406,246.8588319343182,393.8640175772399,824.967476570414,254.43975091955843,395.28513209715794,6.318069850069523,1.3703996663077609,411.90000000596046,0.5802362204322191,798.1039042571555,260.40439992084794,427.5022883908701,798.1039042571555,260.40439992084794,427.5022883908701,6.3679336771252135,1.2836408951167408,401.5,0.5370381005535516,-28.35179192414421,7.611435559968982,153.97451126291364,-20.966002157070875,15.192354545209213,155.39562578283173,-13.290000018477372,74.1000000059604,98.34999997913836,109.82000002265,350.1300000041724,363.4200000226498,0.3100627013147009,0.9434998942411672,0.6334371929264664,0.2761578881106892,-0.0339048132040117,14.492753623188406,0.0891557112806153,0.5479495382016034,0.4520504617983967,0.9108442887193846,5158.078486922394,1547.9120441472364,3610.166442775158,11,69,1.6666666666666667,9.833333333333334,0.0,2615.160987700571,433.9469658915215,0.4138085318381592,0.161198423801177,0.05210131333093,-0.1090971104702469,0.8011792801677642,0.6399808563665872,0.6002102017175718,0.4390117779163948,0.2645097461099617,0.1033113223087847,0.0209407632358645,-0.1402576605653124,0.0065576156856447,-0.1546408081155322,0.8043975499224273,0.6431991261212503,0.0102092680217625,-0.1509891557794144,13.043478260869565,0.0847457627118639,0.6666666666666651,0.3333333333333349,0.915254237288136,1.5,10.0,0.3872123751863606,0.1794777937365845,1.6412046348536526,69,94.59472862414594,193.1894572482919,197.6576702574864,0.0154329460462056,0.4893206978566409,-0.4738877518104353,10.0,69,93.99512024395467,193.99024048790932,200.6925600017011,0.1771838231775763,1.4992886106585226,0.1177928275101301,0.0,69,94.50673180456684,197.01346360913368,205.9498896275227,0.1794775587752142,0.0,1.6412089052853374,69,94.59472862414292,195.18945724828583,201.8917767620776,1.0,0.5,0.0,0.5,1.0,0.5,1.0,,1.0,0.0,1.0,,1.0,1.0,25,2,27,28,0.2320358157104902,0.0657588442035635,6.83451671196815,17.080415779822854,69,0.36864799000293,0.4532348854450744,0.8726149554844689,0.3199676596224072,0.4333522673278698
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,849.6438120555024,170.87920907216613,11.18704364170474,849.6438120555024,170.87920907216613,11.18704364170474,5.525422874884047,1.4252381110684471,494.3999999761581,0.4807589961891989,809.9330257446436,142.40447920063104,291.4312575011955,805.3387536172947,139.79442423018742,287.64203953600907,6.148268134248978,1.1414622244845516,488.3999999761581,0.5089094705872095,705.2534365340696,141.2252661554946,174.14891330701823,705.2534365340696,141.2252661554946,174.14891330701823,5.808697525083882,1.1243832859624276,445.2000000476837,0.5850819487234267,-39.71078631085879,-28.47472987153509,280.24421385949074,-44.30505843820765,-31.08478484197872,276.4549958943043,201.96999994516372,84.83000007867815,152.70000004768383,218.5999999642372,448.82999992370605,246.8599999785423,0.1920282508026161,0.1395292914648095,-0.0524989593378065,0.1954797765935712,0.0034515257909551,1.3888888888888888,0.0142857142857156,1.0,0.0,0.9857142857142844,13130.0,1792.1971831053077,11337.802816894691,2,72,1.0,35.5,0.0,0.0,1040.54771153649,0.0731901291558692,0.0138888888888888,0.0,-0.0138888888888888,0.0,-0.0138888888888888,0.0,-0.0138888888888888,0.0,-0.0138888888888888,0.0,-0.0138888888888888,0.0,-0.0138888888888888,0.0,-0.0138888888888888,0.0,-0.0138888888888888,13.88888888888889,0.1147540983606583,0.700000000000006,0.299999999999994,0.8852459016393417,1.4285714285714286,7.75,0.4029413578669423,0.01,0.1,72,99.82994939214213,203.65989878428425,208.2132310223164,0.01,0.01,0.0,0.1,72,99.82994939214213,205.65989878428425,212.4898971413324,0.01,0.1,-0.2782653471427424,0.2,72,99.53082588639384,207.06165177278768,216.16831624885188,0.01,0.1,0.1,72,99.81895785743008,205.63791571486016,212.46791407190835,1.0,0.8333333333333334,0.0,0.1666666666666666,1.0,0.8333333333333334,1.0,,1.0,,1.0,1.0,1.0,0.6666666666666666,16,6,22,31,0.1503699394907689,0.0288529198085856,6.276622480025576,15.206297674172738,72,0.2814566243952514,0.3807637593850393,0.896858504629278,0.235754905079833,0.3389247338116531
1fbLQPCcysVlSKup96K4yI5NX6G3,670.111297123244,235.797825036704,246.9041289530753,686.8430249067598,230.7890072688006,243.88074782843003,5.963461092842702,1.2641076281841623,372.3000000715256,0.8493226957130355,711.0518226250309,192.9093537568118,262.2824951126794,711.0518226250309,192.9093537568118,262.2824951126794,5.83792052382816,1.5239997828608742,437.3000000715256,0.3662506643008777,869.2487050374523,238.73942339876123,10.0,869.2487050374523,238.73942339876123,10.0,5.802771411177717,1.442065460954684,385.60000002384186,0.8585041050696244,40.940525501786965,-42.8884712798922,15.37836615960407,24.20879771827117,-37.87965351198878,18.401747284249357,88.99999994039536,46.24999998807914,50.500000059604645,-39.53999999761595,129.5099999666213,40.51000002622595,0.0287888146815058,1.1659453821389736e-10,-0.0287888145649113,0.0113646606433787,-0.017424154038127,3.296703296703297,5.2460115007265427e-08,0.3329606153003587,0.6670393846996414,0.9999999475398852,5921.247998897737,1276.3772029924974,4644.870795905239,1,91,3.0,88.0,0.0,1364.3922317711615,387.5881774599511,0.1449092148675478,0.0330038716919136,1.7253060213215746e-11,-0.0330038716746606,1.1035543260104661e-08,-0.0330038606563704,3.8975944385149256e-10,-0.0330038713021542,5.651316982299203e-09,-0.0330038660405966,7.509340212635557e-11,-0.0330038716168202,2.1750450157462303e-09,-0.0330038695168686,0.0909090953055437,0.05790522361363,2.4392174534425733e-11,-0.0330038716675215,25.274725274725277,0.1194029850748831,0.3913043478240482,0.6086956521759518,0.8805970149251168,2.555555555555556,7.555555555555555,0.5653332326888753,0.01,0.1,91,126.16352943420245,256.3270588684049,261.3487778814386,0.99,0.99,0.0,0.2993385064342226,91,125.57170268215434,257.1434053643087,264.6759838838592,0.99,0.3211511466387485,-0.1855740160192384,0.0,91,125.2987305286198,258.5974610572396,268.64089908330703,0.01,0.0,0.1,91,126.16352943420245,258.3270588684049,265.85963738795544,0.9523809523809524,0.5,0.0476190476190476,0.5,1.0,0.375,0.9411764705882352,1.0,1.0,1.0,1.0,0.2857142857142857,0.9,,21,10,31,35,0.0372242591281442,0.286322024125731,4.60386302918606,36.539071602299046,91,0.4989069797920357,0.0864779681088709,0.815385515103377,0.2180788798753662,0.5320927908153111
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,610.268138402418,31.882646197627587,376.459457507708,610.268138402418,31.882646197627587,376.459457507708,5.461530129299462,1.29334945210916,577.2999999523163,0.4836826687710593,519.3408156444771,10.0,377.8986482253957,518.7999711784157,10.0,386.06630130937793,5.496475429967463,1.2952267115621665,518.0999999046326,0.0285710242193094,515.583287921971,54.11883599158207,317.27866374038763,511.53686722149166,52.538185504223286,326.98369855018404,5.318850213891985,1.3999355125602124,476.2000000476837,0.2919907932643119,-90.92732275794094,-21.882646197627587,1.4391907176877226,-91.46816722400229,-21.882646197627587,9.606843801669982,-48.24999996423719,-14.880000078678108,40.34999996423721,-84.84999996423744,-297.6699999570849,-249.4199999928477,0.0882594122473088,0.0532935687123223,-0.0349658435349864,0.0993599704789902,0.0111005582316814,1.1363636363636365,0.0,1.0,0.0,1.0,33756.39999997616,1551.0022988497526,32205.397701126407,1,88,1.0,87.0,0.0,0.0,855.607951358818,0.0621776517174248,0.0113636363636363,0.0,-0.0113636363636363,0.0,-0.0113636363636363,0.0,-0.0113636363636363,0.0,-0.0113636363636363,0.0,-0.0113636363636363,0.0,-0.0113636363636363,0.0,-0.0113636363636363,0.0,-0.0113636363636363,11.363636363636363,0.1038961038961043,0.8999999999999995,0.1000000000000005,0.8961038961038957,1.1111111111111112,8.666666666666666,0.3540511393449268,0.01,0.1,88,122.01883862915965,248.0376772583193,252.99235088727568,0.01,0.01,0.0,0.1,88,122.01883862915965,250.0376772583193,257.46968770175386,0.01,0.1,-0.1394035120959759,0.2,88,121.9176266889161,251.8352533778322,261.74460063574503,0.01,0.1,0.1,88,121.99618162643355,249.9923632528671,257.4243736963017,0.9655172413793104,0.75,0.0344827586206896,0.25,1.0,1.0,0.96,0.5,1.0,,1.0,1.0,0.9230769230769232,0.6666666666666666,29,4,33,34,0.0856520076674562,0.001,4.963771798444143,21.364342262025165,88,0.1675185699642362,0.2982830059868963,0.9366947306813466,0.1474254510820808,0.2247068303184534
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,646.5297821175601,141.33041658982313,223.83556380734385,646.5297821175601,141.33041658982313,223.83556380734385,5.858115054746537,1.1743044723461984,394.7000000476837,0.561340433961214,697.4430785797372,155.2831617927273,304.51749873084134,712.3626867104704,155.0958256160444,301.0400246659423,6.163772443830228,1.155051789765974,392.6999999880791,0.5720911459427341,658.2262021691433,156.36696828399843,264.8179746091555,658.2262021691433,156.36696828399843,264.8179746091555,5.888089620322869,1.1760554071659262,429.0,0.174982930690313,50.91329646217707,13.952745202904168,80.68193492349752,65.83290459291027,13.765409026221278,77.20446085859851,100.46000002026562,67.12000002264972,81.45000004768383,182.17000000476835,412.5599999845026,312.099999964237,0.2494218138351866,0.098748439905928,-0.1506733739292586,0.2358789136207536,-0.013542900214433,28.125,0.092578339022456,0.2346576489692746,0.7653423510307253,0.907421660977544,2240.5105185029943,1162.9407750616483,1077.569743441346,10,128,6.0,18.4,0.5,1113.15465061836,284.80592042565314,0.5941300227248385,0.2901001137882821,0.3768453147202348,0.0867452009319527,0.4329306336431499,0.1428305198548677,0.6706656429611441,0.3805655291728619,0.459178280607694,0.1690781668194118,0.4144499920489661,0.1243498782606839,0.5161471284619642,0.226047014673682,0.2342465966067451,-0.055853517181537,0.408316235016415,0.1182161212281329,49.21875,0.3384615384615423,0.3548387096774384,0.6451612903225616,0.6615384615384577,2.739130434782609,2.9545454545454546,0.6930251052799065,0.01,0.1,128,177.46854181292147,358.93708362584294,364.6411441536822,0.01,0.99,-0.98,0.1,128,177.45926614921405,360.9185322984281,369.4746230901869,0.01,0.1,0.3508855215679662,0.2,128,176.4109328665298,360.8218657330596,372.2299867887381,0.01,0.1,0.1,128,177.4457416957999,360.8914833915998,369.44757418335865,0.95,0.1153846153846153,0.05,0.8846153846153846,0.8,0.5,1.0,0.0833333333333333,0.9166666666666666,0.5,1.0,0.0,1.0,1.0,20,26,46,51,0.3,0.3,3.89217808631538,122.47988063561738,128,0.9198716439873024,0.1262659764448915,0.5839745870137443,0.5304710954439138,0.5852624843399308
